scenario=stripped_all	sse=2.35904542777700561e-08	max_abs_diff=0.000116229013379931523
  25-30m	pct=0.00210090776506246732	delta=-8.9116653545568119e-05
  0.5-1h	pct=0.00673245246487262639	delta=-0.000243710599706338689
  1-8h	pct=0.00502119254606297246	delta=-0.000144841931032473059
  8-24h	pct=0.000181273359275173438	delta=-2.20002226847431151e-05
  >24h	pct=5.39257132855206983e-06	delta=-6.77779042924268473e-07
scenario=view_nov_may	sse=2.80834937408611099e-07	max_abs_diff=0.000442669749549540192
  0-1m	pct=0.74421729676601811	delta=0.000442669749549540192
  1-5m	pct=0.201860863064965868	delta=-0.000276482354185592083
  5-10m	pct=0.0241483158121109411	delta=-5.50442515528971887e-05
  10-15m	pct=0.00805485548031105794	delta=-4.58607794550335013e-05
  15-20m	pct=0.004332482883758303	delta=-2.45318842399741555e-05
  20-25m	pct=0.00285649283198996778	delta=-2.8877748348001258e-05
  25-30m	pct=0.00217111959596903758	delta=-1.89048226389978632e-05
  0.5-1h	pct=0.00695529879034826552	delta=-2.08642742306995588e-05
  1-8h	pct=0.00519848126604972004	delta=3.24467889542745178e-05
  8-24h	pct=0.000198625386590004817	delta=-4.64819536991173637e-06
  >24h	pct=6.16812188873111401e-06	delta=9.77715172547757101e-08
scenario=view_nov_may_ge2	sse=4.66710592753862157e-05	max_abs_diff=0.00530961093176174348
  0-1m	pct=0.738465016084706827	delta=-0.00530961093176174348
  1-5m	pct=0.206400498967786172	delta=0.00426315354863471274
  5-10m	pct=0.0246913857256583769	delta=0.000488025661994538618
  10-15m	pct=0.00823600060460729505	delta=0.000135284344841203608
  15-20m	pct=0.00442991581131461573	delta=7.2901043316338579e-05
  20-25m	pct=0.00292073231466807902	delta=3.53617343301099868e-05
  25-30m	pct=0.00221994576423923708	delta=2.99213456312016381e-05
  0.5-1h	pct=0.00711171605531034888	delta=0.000135552990731383806
  1-8h	pct=0.00531538957525427846	delta=0.000149355098158832945
  8-24h	pct=0.000203092260071494654	delta=-1.81321888421899545e-07
  >24h	pct=6.30683638322945515e-06	delta=2.3648601175311685e-07
